	superclass
K11894	Transport
K11897	Transport
K11898	Transport
K11899	Transport
K11902	Transport
K11909	Transport
K11912	Signal transduction
K11913	Transport
K11914	Transcriptional regulation
K11915	Signal transduction
K11916	Signal transduction
K11917	Transcriptional regulation
K11918	Transport
K11919	Transport
K11921	Transcriptional regulation
K11930	Other
K11934	Cell envelope/biogenesis
K11942	Carbohydrate metabolism
K11996	Carbohydrate metabolism
K12055	Mobilome
K12056	Other
K12057	Motility/adhesion
K12058	Other
K12059	Transport
K12060	Motility/adhesion
K12061	Motility/adhesion
K12062	Protein folding/quality control
K12063	Transport
K12064	Motility/adhesion
K12065	Motility/adhesion
K12066	Motility/adhesion
K12067	Motility/adhesion
K12068	Motility/adhesion
K12069	Motility/adhesion
K12070	Motility/adhesion
K12072	Motility/adhesion
K12111	Carbohydrate metabolism
K12112	Carbohydrate metabolism
K12113	Transcriptional regulation
K12138	Carbohydrate metabolism
K12139	Carbohydrate metabolism
K12140	Carbohydrate metabolism
K12144	Carbohydrate metabolism
K12145	Carbohydrate metabolism
K12146	Transcriptional regulation
K12203	Mobilome
K12205	Mobilome
K12206	Other
K12209	Other
K12211	Other
K12213	Other
K12214	Other
K12217	Other
K12218	Other
K12222	Other
K12227	Other
K12228	Transport
K12234	DNA replication/repair/maintenance
K12239	DNA replication/repair/maintenance
K12240	DNA replication/repair/maintenance
K12241	Other
K12242	Other
K12243	Transcriptional regulation
K12251	Amino acid metabolism
K12252	Energy/central carbon
K12253	Energy/central carbon
K12254	Cofactors/vitamins
K12255	Carbohydrate metabolism
K12256	Energy/central carbon
K12263	Cofactors/vitamins
K12276	Other
K12278	Other
K12279	Other
K12280	Other
K12281	Other
K12282	Other
K12283	Other
K12284	Other
K12285	Other
K12286	Other
K12287	Other
K12291	Motility/adhesion
K12295	Signal transduction
K12299	Transport
K12342	Motility/adhesion
K12349	Carbohydrate metabolism
K12405	Energy/central carbon
K12421	DNA replication/repair/maintenance
K12424	Carbohydrate metabolism
K12426	Lipid metabolism
K12428	DNA replication/repair/maintenance
K12429	DNA replication/repair/maintenance
K12436	Carbohydrate metabolism
K12437	Secondary metabolism
K12443	Secondary metabolism
K12448	Energy/central carbon
K12452	Energy/central carbon
K12453	Translation/ribosome
K12454	Energy/central carbon
K12466	Energy/central carbon
K12472	Transport
K12503	Carbohydrate metabolism
K12507	Lipid metabolism
K12508	Carbohydrate metabolism
K12510	Other
K12511	Other
K12526	Amino acid metabolism
K12528	Cofactors/vitamins
K12529	Cofactors/vitamins
K12530	Transport
K12531	Transport
K12532	Transport
K12533	Other
K12534	Other
K12535	Other
K12536	Transport
K12537	Transport
K12538	Cell envelope/biogenesis
K12539	Other
K12540	Other
K12541	Cell envelope/biogenesis
K12542	Transport
K12544	Other
K12545	Cofactors/vitamins
K12567	Carbohydrate metabolism
K12583	Transport
K12585	Defense systems
K12645	Carbohydrate metabolism
K12660	Energy/central carbon
K12661	Energy/central carbon
K12684	Protein folding/quality control
K12685	Protein folding/quality control
K12686	Cell envelope/biogenesis
K12688	Protein folding/quality control
K12706	Other
K12710	RNA processing/degradation
K12733	Energy/central carbon
K12910	Carbohydrate metabolism
K12945	Carbohydrate metabolism
K12950	Transport
K12954	Transport
K12976	Lipid metabolism
K12977	Lipid metabolism
K12980	Lipid metabolism
K12981	Carbohydrate metabolism
K12982	Carbohydrate metabolism
K12983	Cell envelope/biogenesis
K12985	Cell envelope/biogenesis
K12987	Carbohydrate metabolism
K12988	Carbohydrate metabolism
K12989	Carbohydrate metabolism
K12991	Carbohydrate metabolism
K12992	Carbohydrate metabolism
K12993	Carbohydrate metabolism
K12994	Carbohydrate metabolism
K12995	Carbohydrate metabolism
K12998	Carbohydrate metabolism
K13001	Carbohydrate metabolism
K13002	Carbohydrate metabolism
K13004	Carbohydrate metabolism
K13005	Carbohydrate metabolism
K13006	Carbohydrate metabolism
K13009	DNA replication/repair/maintenance
K13010	Translation/ribosome
K13011	Other
K13015	Energy/central carbon
K13016	Energy/central carbon
K13017	Carbohydrate metabolism
K13018	Carbohydrate metabolism
K13019	Energy/central carbon
K13021	Transport
K13028	Energy/central carbon
K13035	Amino acid metabolism
K13037	DNA replication/repair/maintenance
K13039	Energy/central carbon
K13040	Signal transduction
K13041	Signal transduction
K13043	Amino acid metabolism
K13049	Amino acid metabolism
K13058	Tryptophan metabolism
K13061	Lipid metabolism
K13063	Carbohydrate metabolism
K13085	Signal transduction
K13086	Signal transduction
K13184	DNA replication/repair/maintenance
K13243	Nucleotide metabolism
K13245	Nucleotide metabolism
K13274	Protein folding/quality control
K13275	Protein folding/quality control
K13276	Carbohydrate metabolism
K13277	Protein folding/quality control
K13280	Protein folding/quality control
K13281	DNA replication/repair/maintenance
K13282	Carbohydrate metabolism
K13284	Motility/adhesion
K13285	Motility/adhesion
K13286	Motility/adhesion
K13287	Motility/adhesion
K13300	Cofactors/vitamins
K13307	Carbohydrate metabolism
K13311	Carbohydrate metabolism
K13319	Amino acid metabolism
K13322	Energy/central carbon
K13419	Signal transduction
K13421	Translation/ribosome
K13450	Energy/central carbon
K13451	Other
K13452	Other
K13455	Other
K13461	Other
K13479	Cofactors/vitamins
K13480	Energy/central carbon
K13486	Signal transduction
K13487	Signal transduction
K13488	Signal transduction
K13489	Signal transduction
K13490	Signal transduction
K13491	Signal transduction
K13501	Tryptophan metabolism
K13522	Carbohydrate metabolism
K13525	Transport
K13527	Defense systems
K13532	Signal transduction
K13533	Signal transduction
K13540	RNA processing/degradation
K13570	Protein folding/quality control
K13571	Translation/ribosome
K13572	Translation/ribosome
K13573	Translation/ribosome
K13574	Energy/central carbon
K13580	Other
K13585	Other
K13586	Other
K13587	Signal transduction
K13588	Signal transduction
K13589	Signal transduction
K13590	Carbohydrate metabolism
K13591	Signal transduction
K13592	Drug metabolism/xenobiotics
K13593	Nucleotide metabolism
K13609	Energy/central carbon
K13611	Secondary metabolism
K13612	Secondary metabolism
K13614	Secondary metabolism
K13615	Secondary metabolism
K13622	Carbohydrate metabolism
K13623	Carbohydrate metabolism
K13626	Motility/adhesion
K13633	Transcriptional regulation
K13637	Transcriptional regulation
K13640	Transcriptional regulation
K13642	Transcriptional regulation
K13643	Transcriptional regulation
K13651	Motility/adhesion
K13655	Defense systems
K13656	Carbohydrate metabolism
K13660	Carbohydrate metabolism
K13668	Carbohydrate metabolism
K13669	Carbohydrate metabolism
K13670	Carbohydrate metabolism
K13671	Carbohydrate metabolism
K13686	Carbohydrate metabolism
K13687	Carbohydrate metabolism
K13693	Carbohydrate metabolism
K13700	Other
K13715	Carbohydrate metabolism
K13732	Other
K13733	Other
K13739	Other
K13740	Other
K13741	Nucleotide metabolism
K13747	Energy/central carbon
K13766	Carbohydrate metabolism
K13767	Energy/central carbon
K13770	Antibiotic resistance/efflux
K13772	Transcriptional regulation
K13774	Energy/central carbon
K13775	Energy/central carbon
K13776	Translation/ribosome
K13777	Energy/central carbon
K13778	Cofactors/vitamins
K13779	Carbohydrate metabolism
K13786	Cofactors/vitamins
K13787	Carbohydrate metabolism
K13794	Transcriptional regulation
K13795	Lipid metabolism
K13796	Energy/central carbon
K13815	Signal transduction
K13818	Other
K13819	Other
K13820	Motility/adhesion
K13853	Tryptophan metabolism
K13874	Carbohydrate metabolism
K13875	Transcriptional regulation
K13876	Energy/central carbon
K13924	Signal transduction
K13955	Energy/central carbon
K13963	Amino acid metabolism
K13967	Energy/central carbon
K13990	Synaptic pathways
K13991	Cofactors/vitamins
K13992	Cofactors/vitamins
K13995	Other
K14028	Cofactors/vitamins
K14029	Cofactors/vitamins
K14067	DNA replication/repair/maintenance
K14136	Carbohydrate metabolism
K14161	Other
K14162	DNA replication/repair/maintenance
K14164	Translation/ribosome
K14165	Signal transduction
K14166	Transport
K14195	Other
K14196	Other
K14197	Other
K14198	Amino acid metabolism
K14199	Cell envelope/biogenesis
K14200	Other
K14201	Translation/ribosome
K14202	Signal transduction
K14203	Other
K14204	Other
K14244	Amino acid metabolism
K14259	Energy/central carbon
K14266	Tryptophan metabolism
K14267	Carbohydrate metabolism
K14333	Energy/central carbon
K14335	Carbohydrate metabolism
K14337	Carbohydrate metabolism
K14338	Cofactors/vitamins
K14339	Carbohydrate metabolism
K14340	Carbohydrate metabolism
K14414	Transcriptional regulation
K14415	DNA replication/repair/maintenance
K14422	Energy/central carbon
K14439	Defense systems
K14440	Defense systems
K14446	Cofactors/vitamins
K14447	Carbohydrate metabolism
K14448	Energy/central carbon
K14449	Carbohydrate metabolism
K14451	Carbohydrate metabolism
K14459	Nucleotide metabolism
K14470	Energy/central carbon
K14475	Protein folding/quality control
K14519	Other
K14520	Cofactors/vitamins
K14534	Energy/central carbon
K14562	Other
K14570	RNA processing/degradation
K14578	Signal transduction
K14581	Cofactors/vitamins
K14587	Secondary metabolism
K14596	Carbohydrate metabolism
K14597	Amino acid metabolism
K14623	DNA replication/repair/maintenance
K14627	Energy/central carbon
K14628	Cofactors/vitamins
K14647	Protein folding/quality control
K14657	Transcriptional regulation
K14658	Other
K14659	Carbohydrate metabolism
K14660	Other
K14661	Other
K14666	Carbohydrate metabolism
K14667	Carbohydrate metabolism
K14668	Tryptophan metabolism
K14669	Lipid metabolism
K14670	Amino acid metabolism
K14671	Carbohydrate metabolism
K14672	Secondary metabolism
K14673	Tryptophan metabolism
K14727	Energy/central carbon
K14729	Other
K14730	Energy/central carbon
K14733	Cofactors/vitamins
K14743	Cell envelope/biogenesis
K14748	Energy/central carbon
K14749	Energy/central carbon
K14941	SCFA fermentation
K14949	Signal transduction
K14952	Cell envelope/biogenesis
K14953	Amino acid metabolism
K14954	Other
K14972	Other
K14974	Cofactors/vitamins
K14978	Signal transduction
K14986	Signal transduction
K14987	Signal transduction
K14998	Other
K15012	Signal transduction
K15054	Antibiotic resistance/efflux
K15058	Energy/central carbon
K15059	Energy/central carbon
K15060	Cofactors/vitamins
K15066	Energy/central carbon
K15067	Carbohydrate metabolism
K15103	Lipid metabolism
K15241	Carbohydrate metabolism
K15311	Lipid metabolism
K15312	Lipid metabolism
K15313	Energy/central carbon
K15315	Secondary metabolism
K15328	Lipid metabolism
K15337	Secondary metabolism
K15344	Other
K15345	Other
K15346	Other
K15347	Other
K15349	Other
K15350	Other
K15351	Other
K15352	Other
K15353	Protein folding/quality control
K15354	Other
K15357	Carbohydrate metabolism
K15358	Carbohydrate metabolism
K15367	Protein folding/quality control
K15368	Protein folding/quality control
K15371	Synaptic pathways
K15373	Cofactors/vitamins
K15383	Other
K15396	Translation/ribosome
K15408	Cofactors/vitamins
K15431	Carbohydrate metabolism
K15467	RNA processing/degradation
K15468	Cofactors/vitamins
K15469	Lipid metabolism
K15495	Transport
K15496	Transport
K15509	Energy/central carbon
K15510	Energy/central carbon
K15511	Energy/central carbon
K15512	Energy/central carbon
K15513	Carbohydrate metabolism
K15514	Energy/central carbon
K15518	Carbohydrate metabolism
K15519	Carbohydrate metabolism
K15520	Carbohydrate metabolism
K15521	Carbohydrate metabolism
K15525	Carbohydrate metabolism
K15526	DNA replication/repair/maintenance
K15538	Carbohydrate metabolism
K15546	Transcriptional regulation
K15550	Antibiotic resistance/efflux
K15584	Transport
K15585	Transport
K15586	Transport
K15632	RNA processing/degradation
K15635	Energy/central carbon
K15644	Secondary metabolism
K15645	Secondary metabolism
K15646	Other
K15647	Translation/ribosome
K15648	Lipid metabolism
K15649	Translation/ribosome
K15650	Protein folding/quality control
K15651	Defense systems
K15652	Energy/central carbon
K15653	Secondary metabolism
K15654	Translation/ribosome
K15655	Translation/ribosome
K15656	Translation/ribosome
K15657	Carbohydrate metabolism
K15658	Translation/ribosome
K15659	Translation/ribosome
K15660	Translation/ribosome
K15661	Translation/ribosome
K15662	Translation/ribosome
K15663	Translation/ribosome
K15719	Other
K15721	Signal transduction
K15723	Other
K15731	Transcriptional regulation
K15733	Energy/central carbon
K15735	Transcriptional regulation
K15736	Energy/central carbon
K15737	Energy/central carbon
K15739	DNA replication/repair/maintenance
K15746	Carbohydrate metabolism
K15756	Energy/central carbon
K15760	Other
K15761	Other
K15762	Cofactors/vitamins
K15763	Other
K15764	Other
K15781	Signal transduction
K15782	Drug metabolism/xenobiotics
K15783	Carbohydrate metabolism
K15784	Carbohydrate metabolism
K15785	Amino acid metabolism
K15786	Amino acid metabolism
K15790	Other
K15792	Other
K15835	Transcriptional regulation
K15855	Carbohydrate metabolism
K15862	Cofactors/vitamins
K15864	Cofactors/vitamins
K15876	Cofactors/vitamins
K15878	Other
K15879	Cofactors/vitamins
K15894	Cell envelope/biogenesis
K15898	Carbohydrate metabolism
K15899	Carbohydrate metabolism
K15907	Carbohydrate metabolism
K15915	Carbohydrate metabolism
K15919	Energy/central carbon
K15929	Carbohydrate metabolism
K15962	RNA processing/degradation
K15973	Transcriptional regulation
K15976	Cofactors/vitamins
K15980	Lipid metabolism
K15981	Cofactors/vitamins
K15982	Cofactors/vitamins
K15983	Cofactors/vitamins
K15987	Antibiotic resistance/efflux
K16001	Carbohydrate metabolism
K16004	Carbohydrate metabolism
K16009	Carbohydrate metabolism
K16010	Amino acid metabolism
K16014	Transport
K16022	Other
K16039	Carbohydrate metabolism
K16043	Cofactors/vitamins
K16046	Cofactors/vitamins
K16047	Energy/central carbon
K16048	Energy/central carbon
K16049	Energy/central carbon
K16050	Energy/central carbon
K16051	Energy/central carbon
K16055	Signal transduction
K16077	Transport
K16078	Other
K16079	Cell envelope/biogenesis
K16080	Transport
K16081	Other
K16118	Secondary metabolism
K16125	Other
K16130	Other
K16135	Transcriptional regulation
K16138	Transcriptional regulation
K16140	Transport
K16146	Carbohydrate metabolism
K16147	Carbohydrate metabolism
K16148	Carbohydrate metabolism
K16149	Carbohydrate metabolism
K16152	Cofactors/vitamins
K16163	Energy/central carbon
K16167	Secondary metabolism
K16168	RNA processing/degradation
K16170	Transport
K16171	Synaptic pathways
K16188	Carbohydrate metabolism
K16190	Energy/central carbon
K16199	Transport
K16200	Transport
K16201	Transport
K16202	Transport
K16203	Protein folding/quality control
K16212	Carbohydrate metabolism
K16213	Energy/central carbon
K16216	Cofactors/vitamins
K16217	RNA processing/degradation
K16218	Carbohydrate metabolism
K16234	Transport
K16237	Transport
K16242	Cofactors/vitamins
K16243	Cofactors/vitamins
K16244	Cofactors/vitamins
K16245	Cofactors/vitamins
K16246	Cofactors/vitamins
K16247	Transcriptional regulation
K16248	Transport
K16249	Cofactors/vitamins
K16254	Other
K16255	Cofactors/vitamins
K16256	Other
K16257	Other
K16258	Other
K16259	Other
K16260	Other
K16267	Transport
K16299	Other
K16300	Other
K16303	Energy/central carbon
K16306	Carbohydrate metabolism
K16319	Tryptophan metabolism
K16320	Tryptophan metabolism
K16324	Transport
K16327	Antibiotic resistance/efflux
K16329	Carbohydrate metabolism
K16331	Transport
K16346	Transport
K16363	Lipid metabolism
K16397	Secondary metabolism
K16421	Carbohydrate metabolism
K16422	Cofactors/vitamins
K16423	Amino acid metabolism
K16424	Carbohydrate metabolism
K16425	Energy/central carbon
K16426	Other
K16427	Energy/central carbon
K16431	Cofactors/vitamins
K16435	Energy/central carbon
K16436	Carbohydrate metabolism
K16438	Energy/central carbon
K16444	Carbohydrate metabolism
K16514	Energy/central carbon
K16515	Energy/central carbon
K16516	Drug metabolism/xenobiotics
K16552	Other
K16553	Transport
K16556	Other
K16557	Other
K16558	Other
K16559	Carbohydrate metabolism
K16560	Other
K16562	Other
K16563	Other
K16564	Other
K16565	DNA replication/repair/maintenance
K16566	Other
K16567	Other
K16568	Other
K16593	Lipid metabolism
K16619	Defense systems
K16623	Signal transduction
K16636	Amino acid metabolism
K16637	Nucleotide metabolism
K16638	Amino acid metabolism
K16644	Other
K16645	Transport
K16647	Energy/central carbon
K16648	Carbohydrate metabolism
K16650	Carbohydrate metabolism
K16652	Cofactors/vitamins
K16653	Cofactors/vitamins
K16694	Drug metabolism/xenobiotics
K16696	Transport
K16697	Carbohydrate metabolism
K16698	Carbohydrate metabolism
K16699	Carbohydrate metabolism
K16700	Carbohydrate metabolism
K16705	Other
K16706	Other
K16707	Lipid metabolism
K16708	Other
K16709	Other
K16783	Transport
K16784	Transport
K16792	Translation/ribosome
K16793	Translation/ribosome
K16795	Energy/central carbon
K16838	Energy/central carbon
K16839	Cofactors/vitamins
K16840	Energy/central carbon
K16843	Energy/central carbon
K16844	Carbohydrate metabolism
K16845	Energy/central carbon
K16846	Energy/central carbon
K16849	Energy/central carbon
K16850	Translation/ribosome
K16856	Carbohydrate metabolism
K16868	RNA processing/degradation
K16870	Energy/central carbon
K16871	Energy/central carbon
K16872	Lipid metabolism
K16873	Cofactors/vitamins
K16875	Energy/central carbon
K16876	DNA replication/repair/maintenance
K16877	Energy/central carbon
K16878	Energy/central carbon
K16879	Energy/central carbon
K16880	Carbohydrate metabolism
K16881	Carbohydrate metabolism
K16906	Transport
K16907	Transport
K16915	Transport
K16916	Transport
K16917	Transport
K16918	Transport
K16920	Transport
K16926	Transport
K16950	Cofactors/vitamins
K16951	Cofactors/vitamins
K17060	Signal transduction
K17061	Signal transduction
K17067	Energy/central carbon
K17195	Energy/central carbon
K17202	Transport
K17203	Transport
K17206	Transport
K17207	Transport
K17214	Transport
K17215	Transport
K17222	Amino acid metabolism
K17223	Amino acid metabolism
K17224	Amino acid metabolism
K17225	Energy/central carbon
K17226	Other
K17227	Other
K17228	Cofactors/vitamins
K17229	Energy/central carbon
K17230	Cofactors/vitamins
K17234	Transport
K17235	Transport
K17236	Transport
K17238	Transport
K17239	Transport
K17241	Transport
K17243	Transport
K17244	Transport
K17245	Transport
K17246	Transport
K17285	Cofactors/vitamins
K17315	Transport
K17316	Transport
K17317	Transport
K17321	Transport
K17322	Transport
K17323	Transport
K17324	Transport
K17325	Transport
K17326	Transport
K17327	Transport
K17328	Transport
K17329	Transport
K17330	Transport
K17331	Transport
K17362	Lipid metabolism
K17364	Cofactors/vitamins
K17462	RNA processing/degradation
K17465	Transport
K17466	Transport
K17467	Transport
K17468	Energy/central carbon
K17472	Transcriptional regulation
K17473	Transcriptional regulation
K17474	Carbohydrate metabolism
K17476	Carbohydrate metabolism
K17485	Energy/central carbon
K17489	Energy/central carbon
K17570	Other
K17623	Signal transduction
K17625	Energy/central carbon
K17640	Transport
K17641	Carbohydrate metabolism
K17662	Other
K17716	Energy/central carbon
K17734	Protein folding/quality control
K17735	Energy/central carbon
K17752	Signal transduction
K17754	Energy/central carbon
K17760	Energy/central carbon
K17762	Other
K17763	Other
K17829	Energy/central carbon
K17831	Cofactors/vitamins
K17835	Carbohydrate metabolism
K17837	Antibiotic resistance/efflux
K17838	Antibiotic resistance/efflux
K17840	Carbohydrate metabolism
K17865	Energy/central carbon
K17876	Carbohydrate metabolism
K17880	Carbohydrate metabolism
K17881	Carbohydrate metabolism
K17883	Transport
K17893	Cofactors/vitamins
K17910	Carbohydrate metabolism
K17948	Energy/central carbon
K17950	Energy/central carbon
K17989	Amino acid metabolism
K18000	Tryptophan metabolism
K18011	Energy/central carbon
K18012	Energy/central carbon
K18013	Amino acid metabolism
K18014	Energy/central carbon
K18015	Carbohydrate metabolism
K18022	Other
K18028	Energy/central carbon
K18029	Energy/central carbon
K18030	Energy/central carbon
K18067	Energy/central carbon
K18068	Energy/central carbon
K18069	Energy/central carbon
K18070	Transport
K18072	Signal transduction
K18073	Signal transduction
K18074	Energy/central carbon
K18075	Energy/central carbon
K18076	Energy/central carbon
K18077	Energy/central carbon
K18092	Energy/central carbon
K18094	Antibiotic resistance/efflux
K18095	Antibiotic resistance/efflux
K18096	Lipid metabolism
K18098	Transcriptional regulation
K18099	Transcriptional regulation
K18100	Cofactors/vitamins
K18101	DNA replication/repair/maintenance
K18110	Carbohydrate metabolism
K18115	Carbohydrate metabolism
K18120	Energy/central carbon
K18121	Energy/central carbon
K18122	Carbohydrate metabolism
K18129	Transcriptional regulation
K18130	Transcriptional regulation
K18131	Transcriptional regulation
K18135	Transcriptional regulation
K18136	Transcriptional regulation
K18137	Transcriptional regulation
K18145	Antibiotic resistance/efflux
K18147	Antibiotic resistance/efflux
K18148	Translation/ribosome
K18151	Carbohydrate metabolism
K18195	Carbohydrate metabolism
K18197	Carbohydrate metabolism
K18198	Carbohydrate metabolism
K18214	Transport
K18218	Antibiotic resistance/efflux
K18220	Antibiotic resistance/efflux
K18221	Antibiotic resistance/efflux
K18223	Translation/ribosome
K18224	Translation/ribosome
K18225	Translation/ribosome
K18226	Other
K18230	Transport
K18232	Transport
K18233	Transport
K18235	Energy/central carbon
K18240	Tryptophan metabolism
K18242	Translation/ribosome
K18243	Translation/ribosome
K18257	Energy/central carbon
K18275	Energy/central carbon
K18277	Cofactors/vitamins
K18285	Carbohydrate metabolism
K18286	Amino acid metabolism
K18287	Carbohydrate metabolism
K18288	Carbohydrate metabolism
K18289	Carbohydrate metabolism
K18290	Carbohydrate metabolism
K18291	Carbohydrate metabolism
K18292	Energy/central carbon
K18294	Transcriptional regulation
K18295	Antibiotic resistance/efflux
K18296	Antibiotic resistance/efflux
K18297	Transcriptional regulation
K18300	Antibiotic resistance/efflux
K18302	Antibiotic resistance/efflux
K18304	Transcriptional regulation
K18305	Other
K18306	Antibiotic resistance/efflux
K18307	Antibiotic resistance/efflux
K18308	Antibiotic resistance/efflux
K18314	Energy/central carbon
K18316	Energy/central carbon
K18320	Mobilome
K18321	Antibiotic resistance/efflux
K18322	Antibiotic resistance/efflux
K18323	Antibiotic resistance/efflux
K18330	Cofactors/vitamins
K18331	Cofactors/vitamins
K18332	Cofactors/vitamins
K18333	Energy/central carbon
K18334	Energy/central carbon
K18335	Energy/central carbon
K18336	Carbohydrate metabolism
K18337	Energy/central carbon
K18344	Signal transduction
K18345	Signal transduction
K18346	Antibiotic resistance/efflux
K18351	Signal transduction
K18352	Signal transduction
K18353	Antibiotic resistance/efflux
K18364	Energy/central carbon
K18365	Energy/central carbon
K18366	Energy/central carbon
K18369	SCFA fermentation
K18372	SCFA fermentation
K18373	Other
K18374	Other
K18376	Other
K18379	Transcriptional regulation
K18382	Cofactors/vitamins
K18383	Carbohydrate metabolism
K18384	Energy/central carbon
K18425	Amino acid metabolism
K18429	Energy/central carbon
K18430	Carbohydrate metabolism
K18431	Carbohydrate metabolism
K18441	Amino acid metabolism
K18455	Amino acid metabolism
K18457	Amino acid metabolism
K18459	Carbohydrate metabolism
K18471	Cofactors/vitamins
K18472	Cofactors/vitamins
K18473	Lipid metabolism
K18474	Lipid metabolism
K18475	Amino acid metabolism
K18480	Transport
K18481	Defense systems
K18530	Carbohydrate metabolism
K18535	Energy/central carbon
K18540	Nucleotide metabolism
K18541	Amino acid metabolism
K18545	Amino acid metabolism
K18546	Carbohydrate metabolism
K18547	Carbohydrate metabolism
K18553	Transport
K18554	Antibiotic resistance/efflux
K18555	Antibiotic resistance/efflux
K18579	Carbohydrate metabolism
K18586	Energy/central carbon
K18589	Other
K18591	Other
K18622	Amino acid metabolism
K18626	Amino acid metabolism
K18642	Amino acid metabolism
K18653	Synaptic pathways
K18654	Signal transduction
K18660	Secondary metabolism
K18661	Secondary metabolism
K18662	Other
K18673	Carbohydrate metabolism
K18676	Transport
K18678	Carbohydrate metabolism
K18697	Carbohydrate metabolism
K18698	Antibiotic resistance/efflux
K18699	Antibiotic resistance/efflux
K18700	Carbohydrate metabolism
K18701	Energy/central carbon
K18707	Other
K18766	Antibiotic resistance/efflux
K18768	Antibiotic resistance/efflux
K18775	Carbohydrate metabolism
K18779	Translation/ribosome
K18785	Carbohydrate metabolism
K18786	Carbohydrate metabolism
K18814	Transport
K18820	Carbohydrate metabolism
K18824	Carbohydrate metabolism
K18827	RNA processing/degradation
K18828	Translation/ribosome
K18830	Defense systems
K18833	Antibiotic resistance/efflux
K18836	Cofactors/vitamins
K18838	Other
K18844	Antibiotic resistance/efflux
K18845	RNA processing/degradation
K18846	RNA processing/degradation
K18851	Lipid metabolism
K18855	Energy/central carbon
K18862	Translation/ribosome
K18893	Antibiotic resistance/efflux
K18895	Transport
K18896	RNA processing/degradation
K18897	RNA processing/degradation
K18898	Antibiotic resistance/efflux
K18899	Antibiotic resistance/efflux
K18901	Antibiotic resistance/efflux
K18902	Antibiotic resistance/efflux
K18903	Antibiotic resistance/efflux
K18904	Antibiotic resistance/efflux
K18905	Transcriptional regulation
K18911	RNA processing/degradation
K18912	Amino acid metabolism
K18917	Carbohydrate metabolism
K18922	Other
K18930	SCFA fermentation
K18933	Tryptophan metabolism
K18936	Antibiotic resistance/efflux
K18941	Signal transduction
K18954	Transcriptional regulation
K18955	Transcriptional regulation
K18958	Transcriptional regulation
K18973	Antibiotic resistance/efflux
K18974	Carbohydrate metabolism
K18975	Antibiotic resistance/efflux
K18981	Energy/central carbon
K18982	Energy/central carbon
K18983	Carbohydrate metabolism
K18984	Protein folding/quality control
K18986	Signal transduction
K18990	Antibiotic resistance/efflux
K18991	Transcriptional regulation
K18996	Other
K19033	Translation/ribosome
K19049	Energy/central carbon
K19050	DNA replication/repair/maintenance
K19051	Other
K19052	Other
K19056	Transcriptional regulation
K19057	Transcriptional regulation
K19058	Transport
K19059	Transport
K19062	Carbohydrate metabolism
K19065	Mobilome
K19068	Energy/central carbon
K19073	Cofactors/vitamins
K19075	Defense systems
K19077	Signal transduction
K19078	Signal transduction
K19079	Transport
K19080	Transport
K19081	Signal transduction
K19082	Signal transduction
K19088	Defense systems
K19090	Defense systems
K19091	Defense systems
K19092	Defense systems
K19096	Antibiotic resistance/efflux
K19097	Antibiotic resistance/efflux
K19098	Antibiotic resistance/efflux
K19113	Carbohydrate metabolism
K19114	Defense systems
K19116	Defense systems
K19137	Defense systems
K19138	Defense systems
K19139	Defense systems
K19140	Defense systems
K19145	Defense systems
K19147	Defense systems
K19148	Other
K19155	Defense systems
K19156	Defense systems
K19160	Carbohydrate metabolism
K19161	Defense systems
K19165	Defense systems
K19169	Defense systems
K19170	Defense systems
K19171	Defense systems
K19172	Defense systems
K19173	Defense systems
K19174	Defense systems
K19175	Defense systems
K19176	Synaptic pathways
K19180	Cofactors/vitamins
K19185	Energy/central carbon
K19189	Cofactors/vitamins
K19191	Cofactors/vitamins
K19200	Other
K19208	Secondary metabolism
K19209	Antibiotic resistance/efflux
K19216	Antibiotic resistance/efflux
K19231	Motility/adhesion
K19238	Other
K19242	Transcriptional regulation
K19244	Amino acid metabolism
K19246	Energy/central carbon
K19268	Energy/central carbon
K19272	Carbohydrate metabolism
K19274	Carbohydrate metabolism
K19278	Carbohydrate metabolism
K19290	Carbohydrate metabolism
K19291	Carbohydrate metabolism
K19292	Other
K19293	Other
K19295	Other
K19296	Other
K19298	Cofactors/vitamins
K19300	Carbohydrate metabolism
K19303	Cell envelope/biogenesis
K19310	Transport
K19311	Carbohydrate metabolism
K19314	Carbohydrate metabolism
K19319	Antibiotic resistance/efflux
K19320	Antibiotic resistance/efflux
K19322	Antibiotic resistance/efflux
K19332	Other
K19335	Transcriptional regulation
K19339	Transcriptional regulation
K19341	Transport
K19342	Protein folding/quality control
K19343	Transcriptional regulation
K19344	Cofactors/vitamins
K19345	Other
K19351	Cell envelope/biogenesis
K19355	Carbohydrate metabolism
K19405	Other
K19411	Transcriptional regulation
K19417	Transcriptional regulation
K19418	Other
K19419	Other
K19420	Tryptophan metabolism
K19421	Other
K19423	Carbohydrate metabolism
K19425	Carbohydrate metabolism
K19427	Carbohydrate metabolism
K19429	Carbohydrate metabolism
K19430	Carbohydrate metabolism
K19431	Carbohydrate metabolism
K19432	Transcriptional regulation
K19433	Motility/adhesion
K19449	Transcriptional regulation
K19506	Transport
K19540	Transport
K19541	Antibiotic resistance/efflux
K19545	Amino acid metabolism
K19546	Tryptophan metabolism
K19547	Energy/central carbon
K19548	Energy/central carbon
K19549	Amino acid metabolism
K19550	Energy/central carbon
