	sample_received_month	latitude	longitude	elevation	pH_laboratory	tta_laboratory	cfu_lab	cfu_yeasts	r_samp_source	r_samp_country	covid	r_dough_source	r_dough_stor_device	r_dough_cover	r_yeast_usage_prior	r_flour_type_red_red	r_flour_quality	r_flour_organic	r_flour_change	r_water_type	r_flour_additions	r_backslop_freq	r_refreshment_flour	r_temp_feeding	r_time_feeding	r_stor_feeding	r_dough_size_feeding	r_temp_storage	r_ph_value_citizen	cat	dog	other_with_hair	other_without_hair	r_plants	r_kids	r_flour_comp_not_determ	r_wheat	r_semi_wholemeal_wheat	r_wholemeal_wheat	r_rye	r_wholemeal_rye	r_wholemeal_spelt	r_spelt	r_barley	r_other_wheat_varieties	r_gluten_free_flour	p_number_sourdoughs	p_after_feeding	p_bread_making_frequency	p_skill	p_perceived_health_benefits	p_alcoholic_beverage	p_acid_beverage	p_dairy_products	p_fermented_vegetables_fruits	p_other_fermentations	dough_age	sample_transport_dur	dough_yield	s_grain_cereal_score	s_fermented_score	s_veggie_score	s_animal_score	s_chemical_score	s_body_odour_score	s_fruity_score	s_toasted_score	s_sour_score	s_ocean_score	s_earthy_score	s_fermented_dairy_score	s_nutty_score	hub	cluster
41f05	February	51.21	7.09	268	4.03	27	8.65163221	6.69897	household	Germany	post	started myself	glass jar	loose lid	yes	wheat	wholemeal	yes	no	tap water	no	2	75	28	3.3	proofing chamber	130	5	4.3	no	yes	no	no	no	yes	no	0	0	0	0	0	0	0	0	1	0	3	fridge	1	2 to 5	no	no	no	yes	no	no	2	8	160	1	1	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
498ca	February	51.21	7.09	268	3.79	16.5	9.15904501	6.84509804	household	Germany	post	started myself	glass jar	loose lid	yes	wheat	endosperm	yes	no	tap water	no	2	100	30	3	proofing chamber	130	5	4.6	no	yes	no	no	no	yes	no	1	0	0	0	0	0	1	0	0	0	4	fridge	3	2 to 5	no	no	no	yes	no	no	0	9	150	1	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
d6578	June	50.14	8.06	403	3.58	15.79	9.088815284	4.477121255	household	Germany	covid	started myself	glass jar	loose lid	yes	wheat	endosperm	yes	no	tap water (descaled/filtered)	no	4	50	24	6	kitchen counter	100	5	5.1	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0		other				no	no	no	no	no	4	12	200	0	0	0	0	0	0	1	0	0	0	0	0	0	ETHZ	4
f2aa5	June	50.14	8.06	403			6.486430479	7.830756661	household	Germany	pre	started myself	glass jar	loose lid	yes	rye	endosperm	yes	no	tap water (descaled/filtered)	no	4	50	25	5	kitchen counter	100	5	4.6	no	no	no	no	yes	no	yes	0	0	0	1	0	0	0	0	0	0	3	fridge	3	>5	no	no	no	no	no	no	9	12	200	0	0	0	0	0	0	1	0	0	0	0	0	0	ETHZ	1
9fc75	June	50.14	8.06	403	3.64	16.07	8.326360234	5.324479266	household	Germany	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water (descaled/filtered)	no	4	50	24	5	kitchen counter	100	5	4.6	no	no	no	no	yes	no	no	1	0	0	1	0	0	0	0	0	0	3	fridge	3	>5	no	no	no	no	no	no	4	12	150	0	0	0	0	0	0	1	0	0	0	0	0	0	ETHZ	4
6a182	February	50.7	7.02	118	4.01	7.84	9.80630698	7.78445255	household	Germany	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water	no	1	50	28	4	proofing chamber	100	7		no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	3	fridge	3	2 to 5	no	no	no	no	no	no	2	12	200	1	0	0	0	0	0	0	0	0	0	0	0	0	ETHZ	5
1e9bf	February	50.7	7.02	118	3.63	21.61	9.52407138	5.28330123	household	Germany	covid	started myself	glass jar	closed lid	yes	rye	endosperm	yes	no	tap water	no	1	50	28	4	proofing chamber	100	7		no	no	no	no	yes	yes	no	1	0	0	1	0	0	0	0	0	0	3	fridge	3	2 to 5	no	no	no	no	no	no	2	13	200	0	0	1	0	0	0	0	0	0	0	0	0	0	ETHZ	5
6c03b	February	50.7	7.02	118	3.72	13.79	9.81007167	6.9591825	household	Germany	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water	no	1	50	28	2	proofing chamber	100	7		no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	3	fridge	3	2 to 5	no	no	no	no	no	no	2	13	150	0	1	0	0	0	0	0	0	0	0	0	0	0	ETHZ	4
56db6	March	48.84	9.32	276	3.79	21.92	9.48415761	8.23988403	household	Germany	pre	started myself	glass jar	closed lid	yes	rye	wholemeal	no	no	tap water (descaled/filtered)	no	4	50	22	4	kitchen counter	110	8	4.6	no	no	no	no	yes	no	no	1	0	0	0	1	0	0	0	0	0	3	fridge	4	2 to 5	yes	no	no	no	no	no	5	9	200	1	1	0	0	0	0	0	0	1	0	0	0	0	ETHZ	5
ced9d	March	48.84	9.32	276	3.97	10.02	8.96549741	8.29202675	household	Germany	pre	started myself	glass jar	closed lid	yes	wheat	endosperm	no	yes	tap water (descaled/filtered)	no	4	54	22	4	kitchen counter	130	8	5.1	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	3	fridge	4	2 to 5	yes	no	no	no	no	no	5	9	146.2962963	0	1	0	0	1	0	0	0	1	0	0	0	0	ETHZ	4
a3cd3	April	52.11	11.63	82	3.71	25.58	8.193585294	6.942754355	household	Germany	covid	started myself	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water	no	2	50	30	7	proofing chamber	110	4	4.4	yes	no	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	3	fridge	3	2 to 5	yes	no	no	no	no	no	3	5	200	1	0	2	0	0	0	0	0	0	0	0	0	0	ETHZ	2
b2eea	April	52.11	11.63	82	3.62	13.37	8.989342584	7.458481415	household	Germany	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	yes	tap water	no	2	50	30	7	proofing chamber	110	4	4.3	yes	no	no	no	yes	no	no	1	0	0	0	1	0	0	0	0	0	3	fridge	3	2 to 5	yes	no	no	no	no	no	3	5	200	1	0	1	0	0	0	1	1	0	0	0	1	0	ETHZ	2
dbe34	April	52.11	11.63	82	3.53	19.5	8.039493141	6.776490474	household	Germany	post	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water	yes	1	50	30	7	proofing chamber	110	4	4.5	yes	no	no	no	yes	no	no	1	0	0	0	1	0	0	0	0	0	3	fridge	3	2 to 5	yes	no	no	no	no	no	0	5	150	0	0	0	0	0	0	2	0	2	0	0	0	0	ETHZ	2
d1110	March	52.52	13.34	41	3.64	15.33	7.119063055	6.477121255	bakery	Germany	pre	received from a bakery	plastic container	closed lid	yes	rye	wholemeal	yes	no	tap water	no	30	12639	23	4	kitchen counter	2000	6	4.6	no	no	no	no	no	no	no	1	0	0	0	1	0	0	0	0	0	3	fridge	30	professional	yes	no	no	no	no	no	8	13	250	1	0	0	0	0	0	0	0	1	0	1	1	0	ETHZ	1
9a3dd	March	52.52	13.34	41	3.53	24.49	8.422513069	6.84509804	bakery	Germany	pre	received from a bakery	plastic container	closed lid	yes	spelt	wholemeal	yes	no	tap water	no	30	1600	23	2	kitchen counter	1800	6	4.4	no	no	no	no	no	no	no	1	0	0	0	0	1	0	0	0	0	3	fridge	30	professional	yes	no	no	no	no	no	8	13	200	1	0	0	0	1	0	0	1	0	0	0	0	1	ETHZ	1
b2a13	March	52.52	13.34	41	3.8	22.21	8.003236211	6.876747528	bakery	Germany	pre	received from a bakery	plastic container	closed lid	yes	wheat	endosperm	yes	no	tap water	no	30	5500	23	2	kitchen counter	5000	6	4.8	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	3	fridge	30	professional	yes	no	no	no	no	no	8	13	200	2	1	1	0	0	0	0	0	0	0	1	1	0	ETHZ	1
c4aa2	February	50.77	7.67	207	3.63	21.5	11.2886963	7.20687962	household	Germany	pre	started myself	glass jar	loose lid	yes	rye	endosperm	no	no	tap water	no	4	50	29	4	proofing chamber	100	5	4.6	no	no	no	no	no	no	no	1	0	0	1	0	0	0	0	0	0	4	fridge	8	2 to 5	yes	no	no	no	no	no	4	7	200	0	1	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
b9ddc	February	50.77	7.67	207	3.67	15.56	10.69897	7.55929153	household	Germany	pre	started myself	glass jar	loose lid	yes	wheat	endosperm	no	no	tap water	no	4	100	29	4	proofing chamber	250	5	4.6	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	4	fridge	8	2 to 5	yes	no	no	no	no	no	4	7	150	0	1	0	0	0	0	1	0	0	0	0	0	0	ETHZ	3
4d9ec	February	50.77	7.67	207	3.68	12.87	10.8597386	8.21152107	household	Germany	pre	started myself	glass jar	loose lid	yes	wheat	endosperm	no	no	tap water	no	4	50	29	4	proofing chamber	100	5	4.4	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	4	fridge	8	2 to 5	yes	no	no	no	no	no	4	7	190	1	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	2
51d5e	March	52.51	13.46	45	3.87	42.61	9.63639001	2	bakery	Germany	pre	received from a bakery	plastic container	loose lid	yes	spelt	endosperm	yes	yes	tap water	no	30	1000	26	2	other	500	9	4.9	yes	no	no	no	no	no	yes	0	0	0	0	0	0	1	0	0	0	5	keep at RT	24	professional	yes	no	no	no	no	no	6	9	150														ETHZ	1
12d8e	March	52.51	13.46	45	3.62	13.61	7.21094408	7.87308734	bakery	Germany	pre	received from a bakery	plastic container	loose lid	yes	wheat	endosperm	yes	yes	tap water	no	30	1000	26	2	other	500	9	4.9	yes	no	no	no	no	no	yes	1	0	0	0	0	0	0	0	0	0	5	keep at RT	24	professional	yes	no	no	no	no	no	6	9	150														ETHZ	1
375f6	March	52.51	13.46	45	3.78	12.87	8.63917127	7.465399	bakery	Germany	pre	received from a bakery	plastic container	loose lid	yes	rye	endosperm	yes	yes	tap water	no	30	1000	26	2	other	500	9	4.9	yes	no	no	no	no	no	yes	0	0	0	1	0	0	0	0	0	0	5	keep at RT	24	professional	yes	no	no	no	no	no	6	9	150														ETHZ	3
25a52	March	52.51	13.46	45	3.67	14.24	7.8729012	7.90563901	bakery	Germany	pre	received from a bakery	plastic container	loose lid	yes	wheat	endosperm	yes	yes	tap water	no	30	1000	26	2	other	500	9	4.9	yes	no	no	no	no	no	yes	1	0	0	0	0	0	0	0	0	0	5	keep at RT	24	professional	yes	no	no	no	no	no	6	9	150														ETHZ	1
65ba0	March	52.51	13.46	45	3.65	14.42	8.39583896	7	bakery	Germany	pre	received from a bakery	plastic container	loose lid	yes	wheat	endosperm	yes	yes	tap water	no	30	1000	26	2	other	500	9	4.9	yes	no	no	no	no	no	yes	1	0	0	0	0	0	0	0	0	0	5	keep at RT	24	professional	yes	no	no	no	no	no	6	9	150														ETHZ	1
cb0dc	February	53.64	10.11	44	3.79	22.55	8.55828021	2.60205999	bakery	Germany	pre	started myself	plastic container	closed lid	yes	spelt	wholemeal	yes	no	tap water (descaled/filtered)	no	12	50	28	10	proofing chamber	100	4	4.6	no	no	no	no	no	yes	no	0	0	0	0	0	1	0	0	0	0		other				no	no	no	no	no	6	10	200	1	0	0	0	0	0	0	0	1	0	0	0	0	ETHZ	2
46cc2	February	53.64	10.11	44	3.61	28.84	8.76423351	0	bakery	Germany	pre	started myself	plastic container	closed lid	yes	wheat	wholemeal	yes	no	tap water (descaled/filtered)	no	8	50	28	10	proofing chamber	100	4	4.4	no	no	no	no	no	yes	no	0	0	1	0	0	0	0	0	0	0		other				no	no	no	no	no	6	10	200	0	0	0	0	0	0	1	0	0	0	0	1	0	ETHZ	1
64fcb	February	53.64	10.11	44	3.64	18.27	9.32566363	7.91587763	bakery	Germany	covid	started myself	plastic container	closed lid	yes	wheat	endosperm	yes	no	tap water (descaled/filtered)	no	4	100	28	10	proofing chamber	150	4	4.3	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0		other				no	no	no	no	no	3	10	144	0	0	0	0	0	0	1	0	0	0	0	1	0	ETHZ	2
e32a1	February	53.64	10.11	44	3.64	15.85	9.40098464	5.69152668	household	Germany	pre	started myself	plastic container	closed lid	yes	wheat	endosperm	yes	no	tap water (descaled/filtered)	no	4	50	28	10	proofing chamber	100	4	4.4	no	no	no	no	no	yes	no	1	0	0	0	1	0	0	0	0	0	5	fridge	12	professional	yes	no	no	no	no	no	15	10	200	0	0	1	0	0	0	0	0	0	0	0	1	0	ETHZ	1
bce63	February	53.64	10.11	44	3.62	27.63	8.50032583	4.46539475	bakery	Germany	pre	started myself	plastic container	closed lid	yes	rye	wholemeal	yes	yes	tap water (descaled/filtered)	no	12	50	28	10	proofing chamber	100	4	4.2	no	no	no	no	no	yes	no	1	0	0	0	1	0	0	0	0	0	5	fridge	12	professional	yes	no	no	no	no	no	15	10	200	2	0	0	0	0	0	0	0	0	0	0	0	0	ETHZ	2
2393d	February	50.6	8.41	208	3.78	10.44	8.73239376	7.61774804	household	Germany	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	4	100	21	11	kitchen counter	100	5	4.4	no	no	no	no	no	no	no	1	0	0	1	0	0	0	0	0	0	3	fridge	12	2 to 5	yes	yes	no	no	no	no	4	4	200	3	2	0	0	0	0	2	0	0	0	0	3	0	ETHZ	3
7496c	February	50.6	8.41	208	3.86	10.41	8.62324929	7.92217043	household	Germany	covid	started myself	glass jar	closed lid	yes	rye	endosperm	no	no	tap water	no	4	100	21	11	kitchen counter	100	5	4.1	no	no	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0	3	fridge	12	2 to 5	yes	yes	no	no	no	no	4	4	200	2	1	1	1	0	0	0	1	0	0	0	2	0	ETHZ	3
3cbfa	February	50.6	8.41	208	3.89	14.9	9.46480856	7.47712125	household	Germany	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	8	100	21	15	kitchen counter	85	5	4.6	no	no	no	no	no	no	no	1	0	0	1	0	0	0	0	0	0	3	fridge	12	2 to 5	yes	yes	no	no	no	no	4	4	150	2	1	0	0	0	0	2	0	0	0	0	3	1	ETHZ	3
f60a9	March	49.01	8.42	121	3.7	14.63	8.59484642	5.60454805	household	Germany	post	received from a home baker	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	2	50	20	20	kitchen counter	85	6	4.5	no	no	no	no	no	yes	no	1	0	0	0	1	0	0	0	0	0	1	fridge	3	0.5 to 2	yes	no	no	yes	yes	no	1	18	150	1	1	0	0	2	0	1	0	1	0	0	1	0	ETHZ	3
a7452	March	49.01	8.42	121	3.65	26.91	8.31998834	5.59596367	household	Germany	post	received from a home baker	glass jar	closed lid	no	rye	wholemeal	yes	no	tap water	no	2	50	20	20	kitchen counter	110	6	4.1	no	no	no	no	no	yes	no	0	0	0	0	1	0	0	0	0	0	1	fridge	3	0.5 to 2	yes	no	no	yes	yes	no	2	20	200	2	0	1	1	0	0	1	0	0	0	0	0	0	ETHZ	5
0a03f	February	51.45	11.98	135	3.64	15.72	8.76977933	5.00464899	household	Germany	pre	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water	no	4	100	28	4	warm place	150	6	4.4	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	3	>5	no	no	no	no	yes	no	5	8	150	0	0	0	0	0	0	0	0	2	0	0	1	0	ETHZ	3
a2eb6	February	48.96	9.19	189	3.58	21.56	9.45526379	4.05205566	household	Germany	pre	started myself	glass jar	closed lid	yes	rye	endosperm	yes	no	tap water	no	4	50	26	8	proofing chamber	60	7	4.1	no	no	no	no	yes	no	no	0	0	0	1	0	0	0	0	0	0	1	fridge	4	>5	no	no	no	yes	yes	no	5	10	200	1	1	0	0	0	0	2	0	0	0	0	1	0	ETHZ	5
7faa4	March	53.99	9.53	19	3.75	16.93	10.0661551	7.51622732	household	Germany	pre	started myself	glass jar	loose lid	yes	wheat	endosperm	yes	yes	tap water	no	30	70.3	19	7	kitchen counter	40	19	3.97	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	8	>5	yes	no	yes	yes	yes	yes	11	19	138.4068279	1	1	0	0	0	1	0	0	1	0	2	2	0	ETHZ	3
5c7d7	February	50.1	8.64	155	4.08	16.96	8.04914503	7.469756	household	Germany	pre	started myself	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water	no	2	50	28	4	proofing chamber	100	7	5.1	no	no	no	no	no	yes	no	0	0	0	0	1	0	0	0	0	0	1	fridge	3	>5	yes	no	no	yes	yes	no	8	10	200	0	1	0	0	1	0	0	0	1	0	0	0	0	ETHZ	5
53db3	February	51.26	7.59	439	3.94	21.2	10.9444827	8.56264421	household	Germany	pre	started myself	glass jar	closed lid	no	rye	wholemeal	yes	no	tap water	no	4	50	28	4	warm place	100	7	4.4	no	no	no	no	no	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	yes	yes	no	4	8	200	2	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
78f21	March	52.5	13.51	40	3.72	11.85	8.206110268	5.997167871	household	Germany	post	started myself	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	4	50	20	4	kitchen counter	125	5		no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	3	0.5 to 2	yes	no	no	no	yes	no	1	18	150														ETHZ	3
439fa	June	48.02	11.09	550	3.76	26.54	9.067369867	4.698970004	household	Germany	covid	started myself	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water (descaled/filtered)	no	1	50	23	9	warm place	110	1	4.4	no	no	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	3	2 to 5	yes	no	yes	yes	no	no	3	7	200	0	1	2	0	0	0	1	0	0	1	0	1	0	ETHZ	3
c85e8	February	51.64	12.88	86	3.85	21.75	8.88404989	6.3079237	household	Germany	pre	started myself	glass jar	other	yes	rye	wholemeal	yes	no	tap water	no	2	80			fridge	100	5		no	no	no	no	no	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	3	>5	yes	no	no	yes	yes	no	8		200														ETHZ	1
f2203	February	49.16	12.1	509	3.63	24.21	9.60167065	6.73078228	household	Germany	pre	started myself	glass jar	loose lid	yes	rye	endosperm	yes	yes	tap water	no	8	100	24	8	warm place	120	6		yes	yes	no	no	no	yes	no	0	0	0	1	0	0	0	0	0	0	1	fridge	8	>5	no	yes	no	yes	yes	no	4	11	200														ETHZ	3
e5db0	February	52.02	8.54	115	3.75	15.65	8.76965254	7.97708845	household	Germany	post	received from a bakery	plastic container	plastic wrap	yes	wheat	endosperm	yes	no	tap water	no	30	70	28	4	proofing chamber	110	16	4.4	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	8	>5	yes	no	yes	no	yes	no	0	6	142.8571429	0	3	0	0	0	0	0	0	0	0	0	2	0	ETHZ	1
6ddf7	February	52.02	8.54	115	3.55	15.82	9.63423496	7.28988329	household	Germany	pre	received from a bakery	glass jar	loose lid	yes	wheat	endosperm	yes	no	tap water	no	12	10	22	8	kitchen counter	22	6	4.4	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	8	>5	yes	no	yes	no	yes	no	4	5	200	1	0	0	0	0	0	1	0	0	0	0	2	0	ETHZ	1
e6b0a	February	48.01	7.83	250	3.58	27.28	11.569608	6.84783105	household	Germany	pre	received from a home baker	glass jar	loose lid	yes	rye	wholemeal	yes	yes	tap water	yes	4	80	21	22	kitchen counter	80	8	4.1	no	no	no	no	no	no	no	0.333333333	0	0	0	1	0	0.333333333	0	0	0	2	fridge	4	>5	yes	no	no	yes	yes	no	9	11	125	1	1	1	0	0	0	1	0	1	0	0	0	0	ETHZ	3
dbf7e	February	52.55	13.39	53	3.59	13.61	9.45183315	7.49112251	household	Germany	covid	received from a home baker	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water (descaled/filtered)	no	4	40	28	6	proofing chamber	42	5	4.6	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	4	2 to 5	yes	no	no	yes	yes	no	3	8	200	0	0	0	0	0	0	1	0	0	0	0	1	0	ETHZ	3
c4364	February	52.55	13.39	53	3.73	25.44	11.0068937	7.51052006	household	Germany	covid	received from a home baker	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water (descaled/filtered)	no	2	40	28	6	proofing chamber	42	5	4.4	no	no	no	no	no	no	no	0	0	0	0	1	0	0	0	0	0	2	fridge	3	2 to 5	yes	no	no	yes	yes	no	3	8	200	0	1	0	0	0	0	0	0	1	0	0	1	0	ETHZ	2
9a3b8	February	48.02	7.86	248	3.69	20.86	10.4116197	7.42465008	household	Germany	covid	started myself	glass jar	closed lid	yes	wheat	wholemeal	yes	no	tap water	no	1	100	19	1	kitchen counter	100	7	4.1	no	no	no	no	yes	no	no	0	0	1	0	1	0	0	0	0	0	2	fridge	1	2 to 5	no	no	no	no	yes	no	2	19	200	0	0	0	1	0	0	0	0	1	0	0	1	0	ETHZ	3
5c051	February	48.02	7.86	248	4.14	17.22	9.48855072	6	household	Germany	covid	other	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water	no	1	100	19	1	kitchen counter	100	7	4.4	no	no	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	2	fridge	1	2 to 5	no	no	no	no	yes	no	2	21	200	2	0	0	0	0	0	0	0	1	0	0	0	0	ETHZ	3
1dbe4	February	53.24	10.85	14	3.86	24.06	9.88460151	7.0567417	household	Germany	post	started myself	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water	no	4	100	22	8	kitchen counter	225	7	4.4	yes	no	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	2	fridge	4	>5	yes	yes	yes	yes	yes	yes	0	9	208	1	1	0	0	0	0	0	0	2	1	0	0	0	ETHZ	2
ba2c4	February	53.24	10.85	14	3.66	12.8	8.11440641	6.47712125	household	Germany	pre	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	yes	tap water	no	4	100	22	8	kitchen counter	225	8	4.6	yes	no	no	no	yes	no	yes	0	0	0	0	1	0	0	0	0	0	2	fridge	4	>5	yes	yes	yes	yes	yes	yes	5	9	200	1	1	0	0	0	0	1	0	0	0	0	1	0	ETHZ	2
2126e	February	49.49	11.12	468	3.67	25.97	9.37971053	7.11394335	household	Germany	covid	started myself	glass jar	closed lid	yes	rye	wholemeal	no	yes	tap water	no	4	70	30	8	proofing chamber	154	5	4.2	no	no	no	no	yes	yes	no	0	0	0	0	1	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	yes	no	3	9	200	1	1	0	0	0	0	1	0	2	0	0	0	0	ETHZ	3
3cac5	February	49.49	11.12	468	3.58	22.35	8.68266188	7.5797836	household	Germany	post	started myself	glass jar	closed lid	yes	wheat	wholemeal	no	no	tap water	no	4	50	30	8	proofing chamber	110	5	4.5	no	no	no	no	yes	yes	no	0	1	1	0	0	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	yes	no	1	9	200	1	0	0	0	1	1	0	0	0	0	0	0	0	ETHZ	3
8525f	March	47.67	9.55	412	3.61	22.69	8.241778619	5.799340549	household	Germany	pre	received from a home baker	glass jar	closed lid	yes	wheat	endosperm	yes	yes	tap water (descaled/filtered)	no	4	120	28	4	proofing chamber	100	10	4.6	no	no	no	no	no	no	no	1	0	0	1	0	0	0	0	0	0	2	fridge	3	>5	yes	yes	no	yes	yes	yes	5	28	200	1	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	1
ff265	March	47.67	9.55	412	3.56	16.87	8.649323127	5.681241237	household	Germany	pre	started myself	glass jar	closed lid	yes	rye	endosperm	yes	yes	tap water (descaled/filtered)	no	4	100	28	4	proofing chamber	110	10	4.6	no	no	no	no	no	no	no	1	0	0	1	0	0	0	0	0	0	2	fridge	3	>5	yes	yes	no	no	yes	yes	7	18	200	1	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	1
5336b	February	53.58	9.97	15	3.64	15.2	9.9667332	7.23462845	household	Germany	pre	started myself	glass jar	loose lid	yes	other	mix	yes	yes	tap water	no	12	50	27	7	proofing chamber	100	5		no	no	no	no	no	no	no	0.8	0	0	0	0.2	0	0	0	0	0	2	other	8	>5	yes	no	no	yes	yes	no	20	7	200	0	0	0	0	0	0	0	0	0	0	0	2	0	ETHZ	2
a0f40	February	53.58	9.97	15	4.05	18.43	10.1130708	2.30103	household	Germany	pre	started myself	glass jar	loose lid	yes	other	mix	yes	yes	tap water	no	8	50	27	7	proofing chamber	100	5		no	no	no	no	no	no	no	0.8	0	0	0	0.2	0	0	0	0	0	2	keep at RT	8	>5	yes	no	no	yes	yes	no	20	7	200	1	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	1
ab8b2	February	50.88	6.89	64	3.76	24.09	9.23831516	5.49692965	household	Germany	pre	started myself	glass jar	closed lid	yes	other	mix	yes	no	tap water	no	4	50	28	5	proofing chamber	100	5	4.5	no	no	no	no	no	yes	no	0	0	0.2	0	0.8	0	0	0	0	0	2	fridge	8	>5	yes	no	no	no	yes	no	8	10	200	1	0	0	0	0	0	0	0	0	1	0	1	0	ETHZ	3
bc80a	February	50.88	6.89	64	3.76	18.75	9.38263132	5.62531245	household	Germany	covid	started myself	glass jar	closed lid	yes	other	mix	yes	no	tap water	no	4	50	28	5	proofing chamber	100	5	4.5	no	no	no	no	no	yes	no	0.3	0	0.7	0	0.8	0	0	0	0	0	2	fridge	8	>5	yes	no	no	no	yes	no	3	9	200	1	0	0	0	0	0	1	0	0	0	0	1	0	ETHZ	3
cda23	April	52.4	14.1	56	4.21	24.08	9.069581138	0	household	Germany	pre	received from a home baker	plastic container	closed lid	yes	wheat	wholemeal	yes	yes	tap water	no	4	120	17	11	kitchen counter	300	7	4.8	yes	yes	no	no	no	yes	no	0	0	1	0	1	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	yes	no	20	26	200	3	1	0	0	0	0	0	0	1	0	0	1	0	ETHZ	1
bb4ca	April	52.4	14.1	56	4.1	25.48	9.656098202	8.627365857	household	Germany	pre	started myself	glass jar	loose lid	yes	rye	wholemeal	yes	yes	tap water	no	12	120	17	11	kitchen counter	300	7	4.6	yes	yes	no	no	no	yes	no	0	0	0	0	1	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	yes	no	9	26	200	3	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	1
86f72	March	48.2	11.32	504	3.74	18.81	8.97944966	5.32868377	household	Germany	pre	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	2	128	28	3	warm place	160	8	4.4	yes	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	3	>5	yes	no	no	yes	yes	no	10	18	148.4375	0	1	0	0	1	0	0	0	0	0	0	0	0	ETHZ	3
c39f5	March	48.2	11.32	504	3.67	27.5	8.11973209	2	household	Germany	pre	started myself	glass jar	closed lid	yes	rye	endosperm	no	no	tap water	no	2	90	21	8	other	103	8	4.8	yes	no	no	no	yes	no	no	1	0	0	1	0	0	0	0	0	0	2	fridge	3	>5	yes	no	no	yes	yes	no	16	18	197.7777778	0	0	1	0	0	0	1	0	0	0	0	1	0	ETHZ	3
2d9fc	March	50.7	12.43	332	3.57	27.31	7.65890001	6.47712125	household	Germany	pre	started myself	glass jar	closed lid	yes	rye	endosperm	yes	yes	tap water	no	2	60	23	8	kitchen counter	50	7	4.1	no	no	no	no	yes	no	no	0	0	0	1	1	0	0	0	0	0	2	fridge	4	>5	no	no	no	no	yes	no	10	9	200	2	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	2
