fold,split_mode,kmeans_k_used,best_inner_comp,best_inner_dm,dm_spearman,wclr_mse,pw_rmse_log1p,soft_precision,soft_recall,soft_f1,jsd,ood_median_nn,ood_max_nn,tau_abs,tau_abs_eff,shrink_lam_mean,shrink_lam_q90,std_dm_true,std_dm_pred,y_keep_n,neigh_k,tau_mult,lam,y_latent_k,metric_ridge,inner_dm
1,kfold,,0.22870804828770439,0.3377013106488738,0.7391304347826085,0.8302756528781801,0.0055622195409867695,0.8283341496298945,0.9986209621675683,0.9031810026948366,0.02800801943799939,45.33700858519818,60.27886187229845,63.66595726376344,63.66595726376344,0.04757558513313792,0.06528345163520145,42.33444895829374,20.453971496234626,4211,16,1.0,0.0,50,1.0,0.3377013106488738
2,kfold,,0.1846962366478334,0.25859271690102975,0.6943346508563899,0.9124814273373014,0.006384723637361141,0.8849652085096344,0.9300501467992882,0.8975644238583887,0.035265810406499024,33.556770369458334,50.509394070421656,166.3857405557573,166.3857405557573,0.05368541494602576,0.07522675920348798,20.44512791974563,21.57869744543208,4211,12,4.0,0.0,50,1.0,0.25859271690102975
3,kfold,,0.1400169902580966,0.3237220463981753,0.626086956521739,0.9839079776927011,0.004999280409130383,0.8448174483502058,0.9637437333566151,0.8933072523586233,0.02588684029104458,44.513061613333704,64.20046664877722,58.781783254315066,58.781783254315066,0.049628850055097685,0.06556512400345894,27.609967653479316,13.573464906238117,4211,12,1.0,0.0,20,1.0,0.3237220463981753
4,kfold,,0.3147464753324093,0.3383352951848388,0.5940711462450593,1.0190302762102486,0.004936808238968599,0.8420296531199888,0.9884210002353548,0.905962747489572,0.0272887081625759,40.582343495796906,69.61960978560023,53.311464783857744,53.311464783857744,0.05548568678468504,0.07486767548600863,28.723435526278426,16.008524605981133,4211,12,1.0,0.0,20,1.0,0.3383352951848388
5,kfold,,0.3360946113197955,0.3921897550199494,0.023847167325428187,1.2508304298094777,0.005098037567059523,0.8424943326520153,0.9874555807708447,0.9059067487603312,0.03986269755921536,55.000217839008116,80.2076225725798,55.07009369708303,55.07009369708303,0.049938132040864114,0.06156274386820394,16.285806626701277,16.10626891876325,4211,10,1.0,0.0,50,1.0,0.3921897550199494
6,kfold,,0.231255365001157,0.3143269313226551,0.722007722007722,0.6995240293514912,0.005385995124230006,0.8946728418098009,0.9794841651491938,0.9328835637902926,0.027163026810028103,36.31739619576258,53.44953460060882,53.34274301238049,53.34274301238049,0.05341203010719328,0.0711143177666495,17.497990865985233,18.638211124309166,4211,16,1.0,0.0,50,1.0,0.3143269313226551
7,kfold,,0.24039037823042916,0.28578967426509355,0.5500643500643502,1.0412468673279063,0.007259368462551594,0.8306318346002496,0.9920813324812099,0.8992162346934082,0.04099111524163695,32.07523685683639,50.53919121919156,175.5108987829101,175.5108987829101,0.05250990901496335,0.07443852303134087,24.871248575061827,19.818570921084174,4211,12,4.0,0.0,50,1.0,0.28578967426509355
8,kfold,,0.29029109718764895,0.3707882009826025,0.09523809523809525,0.9543761318102689,0.005712869648259291,0.9151555451341457,0.9782289920928948,0.9446869008100336,0.03797009428416607,42.61386062254527,58.56309074584365,41.93497027177313,41.93497027177313,0.04912758189149394,0.06016468681492605,15.655232470138383,14.999068217416777,4211,16,1.0,0.0,50,1.0,0.3707882009826025
9,kfold,,0.34613323877267105,0.42329587486534076,0.14234234234234233,1.6624537262038896,0.007751093160666166,0.8534772112537815,0.9512591501352623,0.8886807679536664,0.05912780255051711,40.6246234942312,63.74336689080649,222.90141124709658,222.90141124709658,0.0521455647330504,0.07589996497134184,24.70919518028884,19.579153495726224,4211,14,4.0,0.0,50,1.0,0.42329587486534076
10,kfold,,0.34808574808574805,0.3583022683923421,0.09575289575289575,1.9405536558533103,0.0074582314303700365,0.8642414863674036,0.9585367726943806,0.9018076994672318,0.05533851385037968,54.074760778394385,81.30583543860804,54.161541631663,54.161541631663,0.04885649581384984,0.0673579514824436,29.141435143124976,12.395671864408486,4211,10,1.0,0.0,10,1.0,0.3583022683923421
