id	superclass
map04726	Synaptic pathways
map04727	Synaptic pathways
map04728	Synaptic pathways
map04914	Signal transduction
map04918	Other
map04930	Other
map04931	Other
map04932	Other
map04934	Other
map04940	Other
map04964	Other
map04973	Carbohydrate metabolism
map04974	Amino acid metabolism
map04976	Energy/central carbon
map04978	Cofactors/vitamins
map05010	Other
map05012	Other
map05014	Other
map05016	Other
map05020	Other
map05030	Other
map05031	Other
map05034	Other
map05100	Defense systems
map05110	Defense systems
map05111	Motility/adhesion
map05132	Defense systems
map05133	Other
map05134	Defense systems
map05142	Other
map05143	Other
map05145	Other
map05146	Defense systems
map05150	Defense systems
map05152	Defense systems
map05161	Viral processes
map05164	Viral processes
map05165	Viral processes
map05166	Viral processes
map05167	Viral processes
map05168	Viral processes
map05200	Other
map05204	Other
map05205	Other
map05206	Other
map05210	Other
map05211	Other
map05215	Other
map05219	Other
map05222	Other
map05225	Other
map05226	Other
map05230	Energy/central carbon
map05340	Other
map05418	Other
map04912	Signal transduction
map04144	Transport
map04014	Signal transduction
map04024	Signal transduction
